Витрина,Критичность,Объём данных (ГБ),Кол-во связей,Качество данных,Сложность изменений,Ошибки в истории,Уровень риска
DWH_Vitrina_875,Низкая,153,18,97,5,4,Низкий
DWH_Vitrina_876,Низкая,71,6,82,4,3,Низкий
DWH_Vitrina_877,Высокая,161,6,70,8,7,Высокий
DWH_Vitrina_878,Низкая,169,1,71,4,2,Низкий
DWH_Vitrina_879,Низкая,141,4,62,11,3,Низкий
DWH_Vitrina_880,Высокая,129,1,68,7,4,Низкий
DWH_Vitrina_881,Высокая,185,11,94,6,4,Низкий
DWH_Vitrina_882,Средняя,66,18,78,8,6,Средний
DWH_Vitrina_883,Низкая,68,7,85,4,7,Низкий
DWH_Vitrina_884,Высокая,27,20,93,4,0,Низкий
DWH_Vitrina_885,Средняя,160,14,69,10,7,Средний
DWH_Vitrina_886,Низкая,177,20,67,2,4,Низкий
DWH_Vitrina_887,Высокая,143,6,61,9,1,Низкий
DWH_Vitrina_888,Высокая,62,3,83,10,1,Низкий
DWH_Vitrina_889,Высокая,63,4,88,7,6,Высокий
DWH_Vitrina_890,Высокая,158,7,63,4,7,Высокий
DWH_Vitrina_891,Высокая,107,11,89,5,1,Низкий
DWH_Vitrina_892,Низкая,74,10,69,8,2,Низкий
DWH_Vitrina_893,Низкая,117,6,83,8,2,Низкий
DWH_Vitrina_894,Средняя,81,2,81,7,5,Средний
DWH_Vitrina_895,Средняя,5,4,76,7,0,Низкий
DWH_Vitrina_896,Средняя,90,7,81,7,1,Низкий
DWH_Vitrina_897,Средняя,162,3,74,11,4,Средний
DWH_Vitrina_898,Средняя,129,10,81,3,3,Средний
DWH_Vitrina_899,Высокая,129,3,93,5,3,Низкий
DWH_Vitrina_900,Средняя,143,13,78,10,4,Средний
DWH_Vitrina_901,Низкая,140,17,67,1,3,Низкий
DWH_Vitrina_902,Высокая,136,15,88,1,7,Высокий
DWH_Vitrina_903,Низкая,136,21,85,6,4,Низкий
DWH_Vitrina_904,Низкая,157,5,85,6,0,Низкий
DWH_Vitrina_905,Высокая,194,12,69,7,5,Высокий
DWH_Vitrina_906,Средняя,199,2,82,1,5,Средний
DWH_Vitrina_907,Высокая,195,19,73,2,7,Высокий
DWH_Vitrina_908,Высокая,140,4,77,4,2,Низкий
DWH_Vitrina_909,Низкая,145,9,75,3,4,Низкий
DWH_Vitrina_910,Низкая,87,5,68,7,1,Низкий
DWH_Vitrina_911,Средняя,28,4,83,8,1,Низкий
DWH_Vitrina_912,Низкая,96,3,78,11,4,Низкий
DWH_Vitrina_913,Высокая,45,1,99,11,5,Высокий
DWH_Vitrina_914,Высокая,38,7,72,2,0,Низкий
DWH_Vitrina_915,Низкая,123,14,81,10,7,Низкий
DWH_Vitrina_916,Средняя,113,19,93,10,3,Средний
DWH_Vitrina_917,Средняя,67,20,71,5,7,Средний
DWH_Vitrina_918,Высокая,58,2,72,6,3,Низкий
DWH_Vitrina_919,Высокая,73,17,99,2,1,Низкий
DWH_Vitrina_920,Низкая,64,10,68,4,6,Низкий
DWH_Vitrina_921,Низкая,66,14,73,3,4,Низкий
DWH_Vitrina_922,Низкая,20,1,73,1,1,Низкий
DWH_Vitrina_923,Низкая,126,2,97,6,3,Низкий
DWH_Vitrina_924,Высокая,185,15,62,5,6,Высокий
DWH_Vitrina_925,Низкая,158,5,90,2,3,Низкий
DWH_Vitrina_926,Высокая,7,11,60,4,4,Низкий
DWH_Vitrina_927,Средняя,200,19,60,8,6,Средний
DWH_Vitrina_928,Средняя,180,5,82,6,5,Средний
DWH_Vitrina_929,Высокая,170,1,68,2,1,Низкий
DWH_Vitrina_930,Средняя,113,12,63,4,7,Средний
DWH_Vitrina_931,Низкая,149,1,91,4,2,Низкий
DWH_Vitrina_932,Низкая,197,4,99,10,7,Низкий
DWH_Vitrina_933,Средняя,135,6,60,5,6,Средний
DWH_Vitrina_934,Низкая,50,10,89,7,7,Низкий
DWH_Vitrina_935,Высокая,91,12,94,1,2,Низкий
DWH_Vitrina_936,Низкая,201,10,67,7,2,Низкий
DWH_Vitrina_937,Высокая,117,18,61,5,4,Низкий
DWH_Vitrina_938,Средняя,152,21,86,11,7,Средний
DWH_Vitrina_939,Средняя,81,20,72,2,7,Средний
DWH_Vitrina_940,Высокая,129,12,100,9,5,Высокий
DWH_Vitrina_941,Низкая,126,11,74,5,5,Низкий
DWH_Vitrina_942,Средняя,28,9,81,2,7,Средний
DWH_Vitrina_943,Низкая,92,16,87,9,6,Низкий
DWH_Vitrina_944,Средняя,133,3,68,1,5,Средний
DWH_Vitrina_945,Низкая,30,13,80,3,5,Низкий
DWH_Vitrina_946,Низкая,19,3,81,4,4,Низкий
DWH_Vitrina_947,Высокая,119,7,68,6,5,Высокий
DWH_Vitrina_948,Высокая,105,8,94,5,4,Низкий
DWH_Vitrina_949,Высокая,6,15,73,11,5,Высокий
DWH_Vitrina_950,Средняя,24,4,60,2,1,Низкий
DWH_Vitrina_951,Высокая,73,4,79,11,1,Низкий
DWH_Vitrina_952,Средняя,8,1,91,7,7,Средний
DWH_Vitrina_953,Высокая,28,7,69,9,4,Низкий
DWH_Vitrina_954,Средняя,174,15,73,3,6,Средний
DWH_Vitrina_955,Низкая,15,10,101,5,7,Низкий
DWH_Vitrina_956,Средняя,47,12,96,10,3,Средний
DWH_Vitrina_957,Высокая,151,14,79,8,6,Высокий
DWH_Vitrina_958,Высокая,146,18,61,2,0,Низкий
DWH_Vitrina_959,Низкая,19,15,80,3,4,Низкий
DWH_Vitrina_960,Низкая,9,1,67,6,2,Низкий
DWH_Vitrina_961,Высокая,96,15,79,2,1,Низкий
DWH_Vitrina_962,Высокая,49,11,63,9,0,Низкий
DWH_Vitrina_963,Высокая,36,9,67,6,6,Высокий
DWH_Vitrina_964,Средняя,163,6,85,1,4,Средний
DWH_Vitrina_965,Средняя,111,9,87,10,2,Низкий
DWH_Vitrina_966,Средняя,149,12,78,1,4,Средний
DWH_Vitrina_967,Высокая,127,16,69,4,4,Низкий
DWH_Vitrina_968,Низкая,33,9,60,9,5,Низкий
DWH_Vitrina_969,Средняя,191,11,98,2,4,Средний
DWH_Vitrina_970,Низкая,21,7,72,7,7,Низкий
DWH_Vitrina_971,Средняя,37,11,89,7,5,Средний
DWH_Vitrina_972,Низкая,100,7,89,3,1,Низкий
DWH_Vitrina_973,Низкая,96,16,77,4,3,Низкий
DWH_Vitrina_974,Средняя,22,21,97,2,3,Средний
DWH_Vitrina_975,Средняя,167,10,95,2,4,Средний
DWH_Vitrina_976,Высокая,11,6,64,2,4,Низкий
DWH_Vitrina_977,Средняя,167,17,61,9,0,Низкий
DWH_Vitrina_978,Средняя,129,19,66,4,7,Средний
DWH_Vitrina_979,Высокая,99,2,71,2,4,Низкий
DWH_Vitrina_980,Низкая,138,16,65,9,7,Низкий
DWH_Vitrina_981,Низкая,160,18,97,3,4,Низкий
DWH_Vitrina_982,Средняя,172,3,83,11,4,Средний
DWH_Vitrina_983,Низкая,23,4,75,7,6,Низкий
DWH_Vitrina_984,Средняя,105,8,99,1,3,Средний
DWH_Vitrina_985,Высокая,110,6,85,3,1,Низкий
DWH_Vitrina_986,Низкая,151,2,60,5,3,Низкий
DWH_Vitrina_987,Низкая,91,12,89,10,1,Низкий
DWH_Vitrina_988,Низкая,62,2,75,9,7,Низкий
DWH_Vitrina_989,Низкая,106,11,91,5,4,Низкий
DWH_Vitrina_990,Средняя,28,14,72,9,6,Средний
DWH_Vitrina_991,Высокая,64,11,64,7,1,Низкий
DWH_Vitrina_992,Средняя,152,3,75,3,0,Низкий
DWH_Vitrina_993,Средняя,29,6,61,3,4,Средний
DWH_Vitrina_994,Низкая,111,11,101,10,2,Низкий
DWH_Vitrina_995,Низкая,99,10,68,10,7,Низкий
DWH_Vitrina_996,Средняя,39,16,71,9,1,Низкий
DWH_Vitrina_997,Средняя,121,15,92,8,0,Низкий
DWH_Vitrina_998,Средняя,21,12,93,3,3,Средний
DWH_Vitrina_999,Низкая,8,18,65,9,3,Низкий
DWH_Vitrina_1000,Высокая,133,4,89,6,2,Низкий
